Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
67,PMR3-17,446.031250,,0.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
68,PMR3-18,446.031250,,0.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
69,PMR3-19,446.031250,,0.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
70,PMR3-20,446.031250,,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
71,PMR3-21,446.031250,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
72,PMR3-22,446.031250,,0.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
73,PMR3-23,446.031250,,0.000000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
74,PMR3-24,446.031250,,0.000000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
75,PMR4,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
76,PMR4-01,446.043750,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
77,PMR4-02,446.043750,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
78,PMR4-03,446.043750,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
79,PMR4-04,446.043750,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
80,PMR4-05,446.043750,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
81,PMR4-06,446.043750,,0.000000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
82,PMR4-07,446.043750,,0.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
83,PMR4-08,446.043750,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
84,PMR4-09,446.043750,,0.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
85,PMR4-10,446.043750,,0.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
86,PMR4-11,446.043750,,0.000000,TSQL,97.4,97.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
87,PMR4-12,446.043750,,0.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
88,PMR4-13,446.043750,,0.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
89,PMR4-14,446.043750,,0.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
90,PMR4-15,446.043750,,0.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
91,PMR4-16,446.043750,,0.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
92,PMR4-17,446.043750,,0.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
93,PMR4-18,446.043750,,0.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
94,PMR4-19,446.043750,,0.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
95,PMR4-20,446.043750,,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
96,PMR4-21,446.043750,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
97,PMR4-22,446.043750,,0.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
98,PMR4-23,446.043750,,0.000000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
99,PMR4-24,446.043750,,0.000000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
100,PMR5,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
101,PMR5-01,446.056250,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
